Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
Program 4 - Polskie Radio 24,Leszno ul. Dekana 3,107.9,"16E35'51""","51N50'27""",WGS84,1.0,76.0,16.5975,51.840833,POINT (16.5975 51.840833)
RMF FM,Rzeszów Sucha Góra,100.1,"21E48'49""","49N45'22""",WGS84,120.22644346174125,55.0,21.813611,49.756111,POINT (21.813611 49.756111)
ESKA Rzeszów,Rzeszów Sucha Góra,104.9,"21E48'49""","49N45'22""",WGS84,10.000000000000002,55.0,21.813611,49.756111,POINT (21.813611 49.756111)
ESKA Rzeszów,Rzeszów Sucha Góra,104.9,"21E48'49""","49N45'22""",WGS84,10.000000000000002,55.0,21.813611,49.756111,POINT (21.813611 49.756111)
Radio ZET,Rzeszów Sucha Góra,107.4,"21E48'49""","49N45'22""",WGS84,30.19951720402015,55.0,21.813611,49.756111,POINT (21.813611 49.756111)
VIA - Katolickie Radio Rzeszów, 36-007 Malawa k/Rzeszowa Wzgórze Magdalenka,103.8,"22E07'41""","50N00'41""",WGS84,10.000000000000002,45.0,22.128056,50.011389,POINT (22.128056 50.011389)
VIA - Katolickie Radio Rzeszów,Malawa k. Rzeszowa,103.8,"22E07'41""","50N00'41""",WGS84,10.000000000000002,45.0,22.128056,50.011389,POINT (22.128056 50.011389)
Program 1,Chotycze,88.3,"22E46'58""","52N11'08""",WGS84,30.19951720402015,176.0,22.782778,52.185556,POINT (22.782778 52.185556)
Program 3,Chotycze,90.5,"22E46'58""","52N11'08""",WGS84,30.19951720402015,176.0,22.782778,52.185556,POINT (22.782778 52.185556)
RMF FM,Siedlce Łosice,91.9,"22E46'58""","52N11'15""",WGS84,30.19951720402015,176.0,22.782778,52.1875,POINT (22.782778 52.1875)
Katolickie Radio Podlasie,Siedlce Łosice,101.7,"22E46'58""","52N11'15""",WGS84,35.481338923357555,176.0,22.782778,52.1875,POINT (22.782778 52.1875)
Radio Regionalne,Siedlce Łosice,103.4,"22E46'58""","52N11'15""",WGS84,120.22644346174125,176.0,22.782778,52.1875,POINT (22.782778 52.1875)
Radio ZET,Siedlce Łosice,105.4,"22E46'58""","52N11'15""",WGS84,30.19951720402015,176.0,22.782778,52.1875,POINT (22.782778 52.1875)
Radio ZET,Siedlce Łosice,105.4,"22E46'58""","52N11'15""",WGS84,30.19951720402015,176.0,22.782778,52.1875,POINT (22.782778 52.1875)
RADIO RSC,"Skierniewice, ul. Sobieskiego 83",88.6,"20E10'15""","51N58'18""",WGS84,1.0,111.0,20.170833,51.971667,POINT (20.170833 51.971667)
RADIO VICTORIA MIĘDZY ŁODZIĄ A WARSZAWĄ,Skierniewice ul. Ks. Kard. Wyszyńskiego 12,96.7,"20E08'38""","51N58'19""",WGS84,1.0,25.0,20.143889,51.971944,POINT (20.143889 51.971944)
RADIO NIEPOKALANÓW,Skierniewice Bartniki,102.7,"20E13'55""","52N00'57""",WGS84,1.0,115.0,20.231944,52.015833,POINT (20.231944 52.015833)
Radio Maryja,Słupsk ul. Grunwaldzka 1b,88.5,"17E00'44""","54N28'47""",WGS84,10.000000000000002,96.0,17.012222,54.479722,POINT (17.012222 54.479722)
RMF MAXXX - Pomorze,Bierkowo k. Słupska,91.5,"16E56'30""","54N29'07""",WGS84,0.7943282347242815,124.0,16.941667,54.485278,POINT (16.941667 54.485278)
Radio Regionalne,"76-200 Słupsk, ul. Koszalińska 1",95.3,"17E00'07""","54N27'11""",WGS84,1.9952623149688797,95.0,17.001944,54.453056,POINT (17.001944 54.453056)
RMF FM,"Słupsk, ul. Koszalińska 1",100.9,"17E00'01""","54N27'09""",WGS84,10.000000000000002,110.0,17.000278,54.4525,POINT (17.000278 54.4525)
Program 1,Słupsk ul. Św. Klary z Asyżu 15,104.3,"17E00'51""","54N28'48""",WGS84,2.818382931264454,105.0,17.014167,54.48,POINT (17.014167 54.48)
Program 4 - Polskie Radio 24,"Słupsk, ul. Św. Klary z Asyżu 15",106.8,"17E00'51""","54N28'48""",WGS84,5.011872336272723,96.0,17.014167,54.48,POINT (17.014167 54.48)
Program 2,Suwałki Krzemianucha,92.0,"22E52'23""","54N11'44""",WGS84,30.19951720402015,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Program 3,Suwałki Krzemianucha,96.6,"22E52'23""","54N11'44""",WGS84,30.19951720402015,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Program Regionalny,Suwałki Krzemianucha,98.6,"22E52'23""","54N11'44""",WGS84,30.19951720402015,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Radio ZET,Suwałki Krzemianucha,101.4,"22E52'23""","54N11'44""",WGS84,30.19951720402015,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Radio ZET,Suwałki Krzemianucha,101.4,"22E52'23""","54N11'44""",WGS84,30.19951720402015,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Program 1,Krzemianucha,105.5,"22E52'23""","54N11'44""",WGS84,19.952623149688804,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Radio Maryja,Suwałki Krzemianucha,107.9,"22E52'23""","54N11'44""",WGS84,19.952623149688804,180.0,22.873056,54.195556,POINT (22.873056 54.195556)
Radio Maryja,Lubin wyspa Wolin,87.7,"14E25'59""","53N52'02""",WGS84,3.0199517204020143,40.0,14.433056,53.867222,POINT (14.433056 53.867222)
"Złote Przeboje na Fali 89,8 FM",Szczecin Warszewo,89.8,"14E32'38""","53N28'30""",WGS84,1.0,113.0,14.543889,53.475,POINT (14.543889 53.475)
"Złote Przeboje na Fali 89,8 FM",Szczecin Warszewo,89.8,"14E32'38""","53N28'30""",WGS84,1.0,113.0,14.543889,53.475,POINT (14.543889 53.475)
"Złote Przeboje na Fali 89,8 FM",Szczecin Księcia Bogusława X 2/3,89.8,"14E32'40""","53N25'51""",WGS84,0.19952623149688797,27.0,14.544444,53.430833,POINT (14.544444 53.430833)
Radio ZET,Świnoujście ul. Chrobrego,91.8,"14E15'33""","53N55'00""",WGS84,10.000000000000002,92.0,14.259167,53.916667,POINT (14.259167 53.916667)
Radio ZET,Świnoujście,91.8,"14E15'33""","53N55'00""",WGS84,10.000000000000002,91.7,14.259167,53.916667,POINT (14.259167 53.916667)
RMF FM,Świnoujście,101.2,"14E15'33""","53N55'00""",WGS84,10.000000000000002,92.0,14.259167,53.916667,POINT (14.259167 53.916667)
Program 1,G. Przehyba,88.0,"20E33'19""","49N28'01""",WGS84,10.000000000000002,65.0,20.555278,49.466944,POINT (20.555278 49.466944)
Radio Regionalne,"góra Przehyba, działka nr 1/2, 33-388 Szczawnica",90.0,"20E33'19""","49N28'01""",WGS84,10.000000000000002,65.0,20.555278,49.466944,POINT (20.555278 49.466944)
Program 3,G. Przechyba,94.7,"20E33'19""","49N28'01""",WGS84,5.011872336272723,65.0,20.555278,49.466944,POINT (20.555278 49.466944)
RDN Nowy Sącz,Szczawnica Przehyba,101.2,"20E33'19""","49N28'01""",WGS84,2.5118864315095806,77.0,20.555278,49.466944,POINT (20.555278 49.466944)
RMF FM,Szczawnica Góra Przechyba,103.2,"20E33'19""","49N28'01""",WGS84,10.000000000000002,65.0,20.555278,49.466944,POINT (20.555278 49.466944)
Program 1,Gorlice ul. Chopina 33,105.4,"21E10'57""","49N40'38""",WGS84,10.000000000000002,137.0,21.1825,49.677222,POINT (21.1825 49.677222)
Radio Plus Szczecin,Szczecin Kołowo,88.9,"14E40'29""","53N20'01""",WGS84,15.135612484362072,153.0,14.674722,53.333611,POINT (14.674722 53.333611)
Radio Szczecin,Szczecin Kołowo,92.0,"14E40'32""","53N20'02""",WGS84,60.255958607435765,177.0,14.675556,53.333889,POINT (14.675556 53.333889)
Radio ZET,Szczecin Kołowo,95.2,"14E40'30""","53N20'01""",WGS84,60.255958607435765,153.0,14.675,53.333611,POINT (14.675 53.333611)
Radio ZET,Szczecin Kołowo,95.2,"14E40'30""","53N20'01""",WGS84,60.255958607435765,153.0,14.675,53.333611,POINT (14.675 53.333611)
Program 1,74-106 Kołowo,100.3,"14E40'29""","53N20'01""",WGS84,60.255958607435765,153.0,14.674722,53.333611,POINT (14.674722 53.333611)
Program 3,74-106 Kołowo,102.3,"14E40'29""","53N20'01""",WGS84,60.255958607435765,153.0,14.674722,53.333611,POINT (14.674722 53.333611)
RMF FM,Szczecin Kołowo,106.7,"14E40'30""","53N20'01""",WGS84,60.255958607435765,153.0,14.675,53.333611,POINT (14.675 53.333611)
Program 1,14-220 Limża,94.8,"19E13'07""","53N36'49""",WGS84,10.000000000000002,250.0,19.218611,53.613611,POINT (19.218611 53.613611)
Radio Maryja,Iława Kisielice,96.9,"19E13'09""","53N36'49""",WGS84,7.585775750291835,250.0,19.219167,53.613611,POINT (19.219167 53.613611)
Radio ZET,Iława Kisielice,98.7,"19E13'09""","53N36'49""",WGS84,10.000000000000002,250.0,19.219167,53.613611,POINT (19.219167 53.613611)
Program 2,14-220 Limża,102.7,"19E13'07""","53N36'49""",WGS84,10.000000000000002,250.0,19.218611,53.613611,POINT (19.218611 53.613611)
RMF FM,Iława Kisielice,107.4,"19E13'09""","53N36'49""",WGS84,10.000000000000002,250.0,19.219167,53.613611,POINT (19.219167 53.613611)
PR II,33-172 Lichwin dz. nr 66/2,88.6,"20E55'42""","49N53'29""",WGS84,10.000000000000002,55.0,20.928333,49.891389,POINT (20.928333 49.891389)
PR I,33-172 Lichwin dz. nr 66/2,91.1,"20E55'42""","49N53'29""",WGS84,10.000000000000002,55.0,20.928333,49.891389,POINT (20.928333 49.891389)
RDN Małopolska,Tarnów Lichwin,103.6,"20E56'53""","49N52'49""",WGS84,30.19951720402015,50.0,20.948056,49.880278,POINT (20.948056 49.880278)
Radio ZET,Tarnów Lichwin,107.8,"20E55'42""","49N53'30""",WGS84,10.000000000000002,60.0,20.928333,49.891667,POINT (20.928333 49.891667)
Radio GRA,"Toruń, ul. Ceramiczna 6",88.8,"18E41'41""","53N02'37""",WGS84,0.5011872336272722,170.0,18.694722,53.043611,POINT (18.694722 53.043611)
Radio GRA,"Toruń, ul. Ceramiczna 6",88.8,"18E41'41""","53N02'37""",WGS84,0.5011872336272722,222.0,18.694722,53.043611,POINT (18.694722 53.043611)
WAWA Toruń,"Toruń, ul. Ceramiczna 6",96.7,"18E41'41""","53N02'37""",WGS84,3.0199517204020143,147.0,18.694722,53.043611,POINT (18.694722 53.043611)
Eska2 Toruń,"Toruń, ul. Ceramiczna 6",96.7,"18E41'41""","53N02'37""",WGS84,3.0199517204020143,170.0,18.694722,53.043611,POINT (18.694722 53.043611)
Radio Maryja,Toruń ul. Ceramiczna 6,100.6,"18E41'41""","53N02'37""",WGS84,10.000000000000002,150.0,18.694722,53.043611,POINT (18.694722 53.043611)
Radio Plus Bydgoszcz,Bydgoszcz Osielsko,102.6,"18E04'51""","53N10'09""",WGS84,1.0,71.0,18.080833,53.169167,POINT (18.080833 53.169167)
ESKA Toruń,"Toruń, ul. Ceramiczna 6",104.6,"18E41'41""","53N02'37""",WGS84,1.0,147.0,18.694722,53.043611,POINT (18.694722 53.043611)
ESKA Toruń,"Toruń, ul. Ceramiczna 6",104.6,"18E41'41""","53N02'37""",WGS84,1.0,170.0,18.694722,53.043611,POINT (18.694722 53.043611)
Anioł Beskidów - Beskidzkie Radio Katolickie,Góra Magurka Wilkowicka - wieża RM,90.2,"19E07'23""","49N46'31""",WGS84,1.0,30.0,19.123056,49.775278,POINT (19.123056 49.775278)
Radio Bielsko,"Wisła Skrzyczne, 43-370 Szczyrk",99.9,"19E01'49""","49N41'05""",WGS84,0.09999999999999998,18.0,19.030278,49.684722,POINT (19.030278 49.684722)
Radio Maryja,Istebna Góra Złoty Groń,101.7,"18E53'58""","49N33'58""",WGS84,1.0,30.0,18.899444,49.566111,POINT (18.899444 49.566111)
Radio Bielsko,"Ustroń Góra Czantoria, ul. 3 Maja 130",103.3,"18E49'08""","49N40'58""",WGS84,0.19952623149688797,9.0,18.818889,49.682778,POINT (18.818889 49.682778)
"AntyRadio 106,4 FM",Bielsko-Biała Góra Szyndzielnia,105.0,"19E00'05""","49N45'35""",WGS84,1.0,16.0,19.001389,49.759722,POINT (19.001389 49.759722)
Program 3,Wałbrzych Chełmiec,99.8,"16E12'37""","50N46'43""",WGS84,5.011872336272723,65.0,16.210278,50.778611,POINT (16.210278 50.778611)
RMF MAXXX - Dolny Śląsk,Wałbrzych Góra Chełmiec,101.1,"16E12'37""","50N46'43""",WGS84,5.011872336272723,48.0,16.210278,50.778611,POINT (16.210278 50.778611)
RMF FM,Wałbrzych G. Chełmiec,102.9,"16E12'37""","50N46'43""",WGS84,7.943282347242818,48.0,16.210278,50.778611,POINT (16.210278 50.778611)
Radio Maryja,Wałbrzych Chełmiec,107.4,"16E12'37""","50N46'43""",WGS84,2.5118864315095806,48.0,16.210278,50.778611,POINT (16.210278 50.778611)
RMF FM,Warszawa Raszyn Al. Krakowska 180,91.0,"20E53'01""","52N04'23""",WGS84,120.22644346174125,240.0,20.883611,52.073056,POINT (20.883611 52.073056)
Radio PLUS Warszawa,Warszawa PKiN Plac Defilad 1,96.5,"21E00'22""","52N13'54""",WGS84,10.000000000000002,209.0,21.006111,52.231667,POINT (21.006111 52.231667)
Radio PLUS Warszawa,Warszawa PKiN Plac Defilad 1,96.5,"21E00'22""","52N13'54""",WGS84,10.000000000000002,209.0,21.006111,52.231667,POINT (21.006111 52.231667)
Program 3,Warszawa Raszyn,98.8,"20E53'01""","52N04'23""",WGS84,120.22644346174125,240.0,20.883611,52.073056,POINT (20.883611 52.073056)
Program 1,Warszawa Raszyn,102.4,"20E53'01""","52N04'23""",WGS84,120.22644346174125,240.0,20.883611,52.073056,POINT (20.883611 52.073056)
Radio ZET,"Warszawa, Pl. Defilad 1",107.5,"21E00'22""","52N13'54""",WGS84,30.19951720402015,209.0,21.006111,52.231667,POINT (21.006111 52.231667)
Radio ZET,Warszawa Pl. Defilad 1,107.5,"21E00'22""","52N13'54""",WGS84,30.19951720402015,209.0,21.006111,52.231667,POINT (21.006111 52.231667)
Radio ZET,"Warszawa, Pl. Defilad 1",107.5,"21E00'22""","52N13'54""",WGS84,30.19951720402015,209.0,21.006111,52.231667,POINT (21.006111 52.231667)
Radio ZET,Wągrowiec Chojna,88.0,"17E17'24""","53N00'47""",WGS84,3.0199517204020143,100.0,17.29,53.013056,POINT (17.29 53.013056)
Radio PLUS GNIEZNO,Gniezno ul. Spichrzowa 109,89.5,"17E34'01""","52N31'13""",WGS84,10.000000000000002,90.0,17.566944,52.520278,POINT (17.566944 52.520278)
Radio Poznań,Chojna k. Wągrowca,98.3,"17E17'25""","53N00'47""",WGS84,10.000000000000002,93.0,17.290278,53.013056,POINT (17.290278 53.013056)
RMF MAXXX Piła,"Piła, ul. Masztowa",104.1,"16E44'56""","53N07'49""",WGS84,5.011872336272723,95.0,16.748889,53.130278,POINT (16.748889 53.130278)
RMF MAXXX Piła,"Piła, ul. Masztowa",104.1,"16E44'56""","53N07'49""",WGS84,5.011872336272723,95.0,16.748889,53.130278,POINT (16.748889 53.130278)
RMF MAXXX - Bydgoszcz,Osielsko k. Bydgoszczy,106.1,"18E04'51""","53N10'07""",WGS84,5.011872336272723,71.0,18.080833,53.168611,POINT (18.080833 53.168611)
RMF MAXXX - Bydgoszcz,Osielsko k. Bydgoszczy,106.1,"18E04'51""","53N10'07""",WGS84,5.011872336272723,71.0,18.080833,53.168611,POINT (18.080833 53.168611)
VOX FM,Wetlina Góra Wideta,87.6,"22E24'43""","49N09'48""",WGS84,0.5011872336272722,30.0,22.411944,49.163333,POINT (22.411944 49.163333)
ESKA Rzeszów,Góra Tokarnia,89.5,"22E01'50""","49N25'57""",WGS84,1.0,40.0,22.030556,49.4325,POINT (22.030556 49.4325)
Radio Maryja,Ustrzyki Dolne Góra Gromadzyń,94.5,"22E35'34""","49N25'16""",WGS84,1.0,26.0,22.592778,49.421111,POINT (22.592778 49.421111)
"Radio Złote Przeboje 103,6 FM",Wetlina Góra Jawor,103.6,"22E29'33""","49N23'02""",WGS84,1.0,70.0,22.4925,49.383889,POINT (22.4925 49.383889)
ESKA Rzeszów,Góra Laworta Kamienna k. Ustrzyk Dolnych,106.5,"22E34'57""","49N26'40""",WGS84,0.5011872336272722,40.0,22.5825,49.444444,POINT (22.5825 49.444444)
Radio Maryja,Bielsko-Biała Góra Magurka,88.4,"19E07'23""","49N46'31""",WGS84,10.000000000000002,35.0,19.123056,49.775278,POINT (19.123056 49.775278)
Program 1,"43-370 Szczyrk, ul. Skrzyczeńska 15",91.5,"19E01'46""","49N41'06""",WGS84,10.000000000000002,68.0,19.029444,49.685,POINT (19.029444 49.685)
Program 1,Szczyrk ul. Skrzyczeńska 15,91.5,"19E01'46""","49N41'06""",WGS84,10.000000000000002,68.0,19.029444,49.685,POINT (19.029444 49.685)
Radio ZET,Wisła G. Skrzyczne,95.7,"19E01'49""","49N41'05""",WGS84,10.000000000000002,68.0,19.030278,49.684722,POINT (19.030278 49.684722)
Radio ZET,Wisła G. Skrzyczne,95.7,"19E01'49""","49N41'05""",WGS84,10.000000000000002,68.0,19.030278,49.684722,POINT (19.030278 49.684722)
Program 3,"Szczyrk, ul. Skrzyczeńska 15",100.8,"19E01'46""","49N41'06""",WGS84,10.000000000000002,68.0,19.029444,49.685,POINT (19.029444 49.685)
Program 3,Szczyrk ul. Skrzyczeńska 15,100.8,"19E01'46""","49N41'06""",WGS84,10.000000000000002,68.0,19.029444,49.685,POINT (19.029444 49.685)
Radio Bielsko,"Góra Szyndzielnia, Bielsko-Biała",106.7,"19E00'03""","49N45'40""",WGS84,1.0,45.0,19.000833,49.761111,POINT (19.000833 49.761111)
Radio Bielsko,Góra Szyndzielnia,106.7,"19E00'03""","49N45'40""",WGS84,1.0,45.0,19.000833,49.761111,POINT (19.000833 49.761111)
Radio Maryja,Parczew,100.6,"22E58'04""","51N38'32""",WGS84,5.011872336272723,49.0,22.967778,51.642222,POINT (22.967778 51.642222)
PR II,"Włodawa, ul. Żołnierzy WIN",102.5,"23E33'30""","51N32'49""",WGS84,10.000000000000002,95.0,23.558333,51.546944,POINT (23.558333 51.546944)
Program 2,"Włodawa, ul. Żołnierzy WiN 22a",102.5,"23E32'12""","51N33'12""",WGS84,10.000000000000002,95.0,23.536667,51.553333,POINT (23.536667 51.553333)
Radio Maryja,Włodawa ul. Żołnierzy WiN 22a,104.5,"23E33'23""","51N32'48""",WGS84,10.000000000000002,95.0,23.556389,51.546667,POINT (23.556389 51.546667)
Radio Maryja,Włodawa ul. Żołnierzy WiN 22a,104.5,"23E33'23""","51N32'48""",WGS84,10.000000000000002,95.0,23.556389,51.546667,POINT (23.556389 51.546667)
Radio Maryja,Kamieńsk,90.2,"19E26'11""","51N12'35""",WGS84,10.000000000000002,67.0,19.436389,51.209722,POINT (19.436389 51.209722)
Radio Plus Radom,"Kupimierz, 26-225 Gowarczów",94.0,"20E27'59""","51N17'08""",WGS84,1.0,53.0,20.466389,51.285556,POINT (20.466389 51.285556)
RMF FM,Dobromierz,97.1,"19E55'23""","50N59'59""",WGS84,12.022644346174122,83.0,19.923056,50.999722,POINT (19.923056 50.999722)
RMF MAXXX,Dobromierz,101.1,"19E55'30""","50N59'59""",WGS84,1.5135612484362084,57.0,19.925,50.999722,POINT (19.925 50.999722)
RMF MAXXX,Kielce Św. Krzyż,106.5,"21E02'55""","50N51'38""",WGS84,19.952623149688804,99.0,21.048611,50.860556,POINT (21.048611 50.860556)
Radio Maryja,Wrocław Ślęża,88.9,"16E42'35""","50N51'53""",WGS84,120.22644346174125,77.0,16.709722,50.864722,POINT (16.709722 50.864722)
Radio Maryja,"Trzebnica, ul. Obornicka 22",88.9,"17E02'08""","51N18'10""",WGS84,7.762471166286917,53.0,17.035556,51.302778,POINT (17.035556 51.302778)
Radio ZET,Wrocław Ślęża,93.6,"16E42'35""","50N51'53""",WGS84,120.22644346174125,77.0,16.709722,50.864722,POINT (16.709722 50.864722)
Radio ZET,Wrocław Ślęża,93.6,"16E42'35""","50N51'53""",WGS84,120.22644346174125,77.0,16.709722,50.864722,POINT (16.709722 50.864722)
Radio ESKA Wrocław,Wrocław Ślęża,104.9,"16E42'35""","50N51'53""",WGS84,60.255958607435765,77.0,16.709722,50.864722,POINT (16.709722 50.864722)
Radio Regionalne,Żórawina,89.8,"17E01'44""","50N59'08""",WGS84,6.025595860743574,220.0,17.028889,50.985556,POINT (17.028889 50.985556)
Radio Rodzina,"Wrocław, ul. Powstańców Śląskich 95",92.0,"17E01'08""","51N05'40""",WGS84,1.1220184543019636,212.0,17.018889,51.094444,POINT (17.018889 51.094444)
RMF FM,Wrocław Żórawina,92.9,"17E01'44""","50N59'08""",WGS84,10.000000000000002,220.0,17.028889,50.985556,POINT (17.028889 50.985556)
"Radio POGODA 106,1 FM",Wrocław Żórawina,106.1,"17E01'16""","50N59'00""",WGS84,10.000000000000002,250.0,17.021111,50.983333,POINT (17.021111 50.983333)
Program 4 - Polskie Radio 24, Wrocław Żórawina,107.5,"17E01'44""","50N59'08""",WGS84,5.011872336272723,220.0,17.028889,50.985556,POINT (17.028889 50.985556)
Program 1,Gubałówka,92.8,"19E56'11""","49N18'29""",WGS84,10.000000000000002,80.0,19.936389,49.308056,POINT (19.936389 49.308056)
Program 3,Gubałówka,98.2,"19E56'11""","49N18'29""",WGS84,10.000000000000002,80.0,19.936389,49.308056,POINT (19.936389 49.308056)
RMF FM,Zakopane Gubałówka,101.8,"19E56'11""","49N18'29""",WGS84,10.000000000000002,80.0,19.936389,49.308056,POINT (19.936389 49.308056)
ALEX,Zakopane Gubałówka,105.2,"19E56'11""","49N18'29""",WGS84,3.1622776601683795,92.0,19.936389,49.308056,POINT (19.936389 49.308056)
Radio ZET,Zakopane Gubałówka,106.3,"19E56'11""","49N18'29""",WGS84,8.128305161640998,80.0,19.936389,49.308056,POINT (19.936389 49.308056)
Radio ZET,Zakopane Gubałówka,106.3,"19E56'11""","49N18'29""",WGS84,10.000000000000002,80.0,19.936389,49.308056,POINT (19.936389 49.308056)
Program 2,22-604 Tarnawatka,87.6,"23E23'50""","50N31'24""",WGS84,30.19951720402015,104.0,23.397222,50.523333,POINT (23.397222 50.523333)
Katolickie Radio Zamość,Zamość Tarnawatka,90.1,"23E23'44""","50N31'25""",WGS84,12.58925411794168,104.0,23.395556,50.523611,POINT (23.395556 50.523611)
PR III,22-604 Tarnawatka,91.3,"23E23'50""","50N31'24""",WGS84,30.19951720402015,104.0,23.397222,50.523333,POINT (23.397222 50.523333)
Radio Regionalne,Tarnawatka,103.2,"23E23'51""","50N31'26""",WGS84,30.19951720402015,104.0,23.3975,50.523889,POINT (23.3975 50.523889)
Program 1,Feliksówka,105.7,"23E15'39""","50N36'30""",WGS84,10.000000000000002,77.0,23.260833,50.608333,POINT (23.260833 50.608333)
RMF FM,Zamość Tarnawatka,107.7,"23E23'44""","50N31'25""",WGS84,15.135612484362072,104.0,23.395556,50.523611,POINT (23.395556 50.523611)
Radio 90 FM,"Cieszyn, ul. Węgielna 1",95.2,"18E38'12""","49N45'40""",WGS84,0.251188643150958,41.0,18.636667,49.761111,POINT (18.636667 49.761111)
"Meloradio 101,3",Kraków Krzemionki,101.3,"19E56'46""","50N02'20""",WGS84,1.0,44.0,19.946111,50.038889,POINT (19.946111 50.038889)
"Rock Radio 103,8 FM","Kraków, ul. Malczewskiego",103.8,"19E54'25""","50N03'01""",WGS84,1.0,102.0,19.906944,50.050278,POINT (19.906944 50.050278)
"Rock Radio 103,8 FM","Kraków, ul. Rakowicka 18",103.8,"19E57'08""","50N04'07""",WGS84,0.19952623149688797,35.0,19.952222,50.068611,POINT (19.952222 50.068611)
Radio CCM,Ustroń Góra Czantoria,107.1,"18E49'09""","49N40'59""",WGS84,1.0,10.0,18.819167,49.683056,POINT (18.819167 49.683056)
Radio CCM,Ustroń Góra Czantoria,107.1,"18E49'09""","49N40'59""",WGS84,1.0,10.0,18.819167,49.683056,POINT (18.819167 49.683056)
Radio ZET,Zielona Góra Jemiołów,88.3,"15E16'34""","52N20'49""",WGS84,60.255958607435765,250.0,15.276111,52.346944,POINT (15.276111 52.346944)
Radio ZET,Zielona Góra Jemiołów,88.3,"15E16'34""","52N20'49""",WGS84,60.255958607435765,250.0,15.276111,52.346944,POINT (15.276111 52.346944)
Program 2,66-220 Jemiołów,89.9,"15E16'33""","52N20'48""",WGS84,60.255958607435765,250.0,15.275833,52.346667,POINT (15.275833 52.346667)
Program 3,66-220 Jemiołów,94.1,"15E16'33""","52N20'48""",WGS84,60.255958607435765,250.0,15.275833,52.346667,POINT (15.275833 52.346667)
Program 1,66-220  Jemiołów,105.0,"15E16'33""","52N20'48""",WGS84,60.255958607435765,250.0,15.275833,52.346667,POINT (15.275833 52.346667)
RMF FM,Zielona Góra Jemiołów,106.4,"15E16'34""","52N20'49""",WGS84,60.255958607435765,250.0,15.276111,52.346944,POINT (15.276111 52.346944)
Radio Maryja,Zielona Góra ul. Kordiana 7,90.3,"15E30'42""","51N55'35""",WGS84,1.0,30.0,15.511667,51.926389,POINT (15.511667 51.926389)
Radio Plus Zielona Góra,Zielona Góra ul. Kordiana 12,91.7,"15E30'42""","51N55'35""",WGS84,1.0,45.0,15.511667,51.926389,POINT (15.511667 51.926389)
Radio Maryja,Zielona Góra Jemiołów,100.0,"15E16'34""","52N20'49""",WGS84,5.011872336272723,250.0,15.276111,52.346944,POINT (15.276111 52.346944)
Radio Maryja,"Zielona Góra, ul. Ptasia",100.0,"15E29'42""","51N55'38""",WGS84,0.5888436553555888,49.0,15.495,51.927222,POINT (15.495 51.927222)
Program 4 - Polskie Radio 24,Góra Wilkanowska,104.0,"15E27'39""","51N54'55""",WGS84,1.9952623149688797,77.0,15.460833,51.915278,POINT (15.460833 51.915278)
ESKA Zielona Góra,Wilkanowo k. Zielonej Góry,105.7,"15E27'41""","51N54'50""",WGS84,0.19952623149688797,70.0,15.461389,51.913889,POINT (15.461389 51.913889)
ESKA Zielona Góra,Wilkanowo k. Zielonej Góry,105.7,"15E27'41""","51N54'50""",WGS84,0.19952623149688797,70.0,15.461389,51.913889,POINT (15.461389 51.913889)
Radio Maryja,Złotów ul. Brzozowa 11,101.1,"17E06'53""","53N22'30""",WGS84,10.000000000000002,90.0,17.114722,53.375,POINT (17.114722 53.375)
Program 2,"Piła, ul. Masztowa",102.5,"16E44'43""","53N07'32""",WGS84,10.000000000000002,73.0,16.745278,53.125556,POINT (16.745278 53.125556)
Program 1,Wichów,91.2,"15E28'48""","51N44'49""",WGS84,30.19951720402015,200.0,15.48,51.746944,POINT (15.48 51.746944)
TWOJE RADIO ZŁOTE PRZEBOJE,Żary,94.4,"15E07'01""","51N37'28""",WGS84,1.0,35.0,15.116944,51.624444,POINT (15.116944 51.624444)
Radio Maryja,Żagań Wichów,101.2,"15E28'34""","51N44'52""",WGS84,10.000000000000002,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
Radio Maryja,Żagań Wichów (LUBUSKIE),101.2,"15E28'34""","51N44'52""",WGS84,10.000000000000002,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
Radio Maryja,Żagań Wichów,101.2,"15E28'34""","51N44'52""",WGS84,10.000000000000002,200.0,15.476111,51.747778,POINT (15.476111 51.747778)
Program 2,Wichów,104.7,"15E28'48""","51N44'49""",WGS84,30.19951720402015,200.0,15.48,51.746944,POINT (15.48 51.746944)
"ESKA 106,6",Olbrachtów 39,106.6,"15E06'09""","51N35'43""",WGS84,5.011872336272723,75.0,15.1025,51.595278,POINT (15.1025 51.595278)
