Program,Lokalizacja stacji,F [MHz],Dł.geogr.,Sz.geogr.,Układ wsp.,ERP[kW],H ant.,Dl.dd,Sz.dd,geometry
RMF FM,Częstochowa Wręczyca,105.9,"18E51'50""","50N50'55""",WGS84,60.255958607435765,250.0,18.863889,50.848611,POINT (18.863889 50.848611)
Program 2,Ryki,88.7,"21E58'06""","51N37'26""",WGS84,10.000000000000002,174.0,21.968333,51.623889,POINT (21.968333 51.623889)
Radio Plus Radom,"Radom, ul. Przytycka 2",90.7,"21E06'46""","51N24'34""",WGS84,5.011872336272723,125.0,21.112778,51.409444,POINT (21.112778 51.409444)
Radio ZET,Dęblin Ryki,91.6,"21E57'59""","51N37'25""",WGS84,10.000000000000002,174.0,21.966389,51.623611,POINT (21.966389 51.623611)
Radio ZET,Dęblin Ryki,91.6,"21E57'59""","51N37'25""",WGS84,10.000000000000002,174.0,21.966389,51.623611,POINT (21.966389 51.623611)
Radio Regionalne,Ryki,103.1,"21E58'06""","51N37'26""",WGS84,12.022644346174122,174.0,21.968333,51.623889,POINT (21.968333 51.623889)
Radio Regionalne,"Kazimierz Dolny, ul. Góry 46",103.1,"21E58'06""","51N19'32""",WGS84,1.0,94.0,21.968333,51.325556,POINT (21.968333 51.325556)
Program 1,Ryki,105.1,"21E58'06""","51N37'26""",WGS84,10.000000000000002,174.0,21.968333,51.623889,POINT (21.968333 51.623889)
Radio Maryja,Dęblin Ryki,107.9,"21E57'59""","51N37'25""",WGS84,10.000000000000002,174.0,21.966389,51.623611,POINT (21.966389 51.623611)
Radio Maryja,Dęblin Ryki,107.9,"21E57'59""","51N37'25""",WGS84,10.000000000000002,174.0,21.966389,51.623611,POINT (21.966389 51.623611)
ESKA Gorzów,"Gorzów Wielkopolski, ul. Energetyków 6",93.8,"15E16'18""","52N45'00""",WGS84,10.000000000000002,144.0,15.271667,52.75,POINT (15.271667 52.75)
Radio Maryja,Baczyna k/Gorzowa Wlkp. ul. Metalowców 4,98.8,"15E09'18""","52N44'33""",WGS84,10.000000000000002,95.0,15.155,52.7425,POINT (15.155 52.7425)
Radio PLUS Gorzów,Gorzów Wielkopolski ul. Jagiellończyka 8,100.7,"15E13'43""","52N44'33""",WGS84,10.000000000000002,97.0,15.228611,52.7425,POINT (15.228611 52.7425)
Radio Maryja,Gogolice,103.5,"14E36'34""","52N54'28""",WGS84,3.0199517204020143,49.0,14.609444,52.907778,POINT (14.609444 52.907778)
Radio Maryja,Gogolice,103.5,"14E36'34""","52N54'28""",WGS84,3.0199517204020143,49.0,14.609444,52.907778,POINT (14.609444 52.907778)
Program 4 - Polskie Radio 24,"Gorzów Wielkopolski, ul. Energetyków 5",105.4,"15E16'17""","52N44'59""",WGS84,1.0,144.0,15.271389,52.749722,POINT (15.271389 52.749722)
Radio 5,"Ełk, ul. Ciepła 2",102.6,"22E22'28""","53N49'00""",WGS84,1.0,80.0,22.374444,53.816667,POINT (22.374444 53.816667)
Radio Maryja,Ełk ul. Przemysłowa 10,105.1,"22E21'35""","53N48'59""",WGS84,10.000000000000002,90.0,22.359722,53.816389,POINT (22.359722 53.816389)
RMF FM,Ełk Oracze,106.5,"22E19'35""","53N52'41""",WGS84,10.000000000000002,80.0,22.326389,53.878056,POINT (22.326389 53.878056)
RMF FM,Ełk Oracze,106.5,"22E19'35""","53N52'41""",WGS84,10.000000000000002,92.0,22.326389,53.878056,POINT (22.326389 53.878056)
RMF FM,Ełk Oracze,106.5,"22E19'35""","53N52'41""",WGS84,10.000000000000002,92.0,22.326389,53.878056,POINT (22.326389 53.878056)
Program 1,"80-209 Chwaszczyno, ul. Telewizyjna 9",95.7,"18E26'00""","54N27'11""",WGS84,120.22644346174125,228.0,18.433333,54.453056,POINT (18.433333 54.453056)
RMF FM,Gdańsk Chwaszczyno,98.4,"18E26'09""","54N27'10""",WGS84,120.22644346174125,228.0,18.435833,54.452778,POINT (18.435833 54.452778)
Program 3,"80-209 Chwaszczyno, ul. Telewizyjna 9",99.9,"18E25'53""","54N27'11""",WGS84,120.22644346174125,228.0,18.431389,54.453056,POINT (18.431389 54.453056)
Radio Plus,Gdańsk Chwaszczyno,101.7,"18E25'53""","54N27'11""",WGS84,120.22644346174125,230.0,18.431389,54.453056,POINT (18.431389 54.453056)
Radio ZET,Gdańsk Chwaszczyno,105.0,"18E26'09""","54N27'10""",WGS84,120.22644346174125,228.0,18.435833,54.452778,POINT (18.435833 54.452778)
Radio ZET,Gdańsk Chwaszczyno,105.0,"18E26'09""","54N27'10""",WGS84,120.22644346174125,228.0,18.435833,54.452778,POINT (18.435833 54.452778)
Program 2,"11-513 Miłki, ul. Jeziorna 2",92.6,"21E50'43""","53N56'17""",WGS84,10.000000000000002,238.0,21.845278,53.938056,POINT (21.845278 53.938056)
Program 3,"11-513 Miłki, ul. Jeziorna 2",94.4,"21E50'43""","53N56'17""",WGS84,10.000000000000002,238.0,21.845278,53.938056,POINT (21.845278 53.938056)
RMF FM,Giżycko Miłki,102.0,"21E50'46""","53N56'17""",WGS84,10.000000000000002,238.0,21.846111,53.938056,POINT (21.846111 53.938056)
Radio ZET,Giżycko Miłki,104.0,"21E50'46""","53N56'17""",WGS84,10.000000000000002,238.0,21.846111,53.938056,POINT (21.846111 53.938056)
Radio ZET,Gryfice,92.9,"15E12'04""","53N54'54""",WGS84,10.000000000000002,45.0,15.201111,53.915,POINT (15.201111 53.915)
Radio ZET,Gryfice,92.9,"15E12'04""","53N54'54""",WGS84,10.000000000000002,45.0,15.201111,53.915,POINT (15.201111 53.915)
Radio Maryja,Gryfice,102.9,"15E12'29""","53N55'44""",WGS84,10.000000000000002,67.0,15.208056,53.928889,POINT (15.208056 53.928889)
Radio Maryja,Bielsk Podlaski ul. Kleszczelowska 84a,102.0,"23E12'17""","52N44'42""",WGS84,10.000000000000002,50.0,23.204722,52.745,POINT (23.204722 52.745)
Program Regionalny,Makarki,104.1,"22E46'09""","52N32'59""",WGS84,10.000000000000002,107.0,22.769167,52.549722,POINT (22.769167 52.549722)
Radio Maryja,Siedlce Łosice,107.7,"22E46'58""","52N11'15""",WGS84,10.000000000000002,176.0,22.782778,52.1875,POINT (22.782778 52.1875)
Radio ZET,Zamość Feliksówka,100.7,"23E15'43""","50N36'35""",WGS84,1.9952623149688797,90.0,23.261944,50.609722,POINT (23.261944 50.609722)
Radio ZET,Hrubieszów Trzeszczany Pierwsze,104.6,"23E46'42""","50N49'00""",WGS84,0.7585775750291839,60.0,23.778333,50.816667,POINT (23.778333 50.816667)
Program 4 - Polskie Radio 24,Trzeszczany Pierwsze,107.4,"23E46'42""","50N49'00""",WGS84,0.5011872336272722,60.0,23.778333,50.816667,POINT (23.778333 50.816667)
Radio Maryja,Krynica Jaworzyna,93.1,"20E53'43""","49N25'01""",WGS84,1.0,35.0,20.895278,49.416944,POINT (20.895278 49.416944)
Radio Maryja,Wysokie k/Nowego Sącza,95.1,"20E34'34""","49N39'09""",WGS84,1.0,26.0,20.576111,49.6525,POINT (20.576111 49.6525)
Program 4 - Polskie Radio 24,Muszyna,98.4,"20E53'43""","49N25'02""",WGS84,1.0,34.0,20.895278,49.417222,POINT (20.895278 49.417222)
Program Regionalny,G. Jaworzyna,102.1,"20E53'43""","49N25'01""",WGS84,1.0,34.0,20.895278,49.416944,POINT (20.895278 49.416944)
RMF MAXXX - Nowy Sącz,"33-380 Krynica Zdrój, Góra Parkowa",104.6,"20E58'01""","49N24'55""",WGS84,0.09999999999999998,17.0,20.966944,49.415278,POINT (20.966944 49.415278)
RMF MAXXX - Nowy Sącz,Krynica Góra Parkowa,104.6,"20E58'01""","49N24'55""",WGS84,0.09999999999999998,17.0,20.966944,49.415278,POINT (20.966944 49.415278)
Program 1,33-370 Muszyna,106.4,"20E53'43""","49N25'02""",WGS84,1.0,34.0,20.895278,49.417222,POINT (20.895278 49.417222)
Program 1,Jelenia Góra Śnieżne Kotły,92.5,"15E33'25""","50N46'44""",WGS84,10.000000000000002,18.0,15.556944,50.778889,POINT (15.556944 50.778889)
Program 3,Jelenia Góra Śnieżne Kotły,94.0,"15E33'25""","50N46'44""",WGS84,10.000000000000002,18.0,15.556944,50.778889,POINT (15.556944 50.778889)
RMF FM,Jelenia Góra Śnieżne Kotły,100.8,"15E33'25""","50N46'44""",WGS84,10.000000000000002,20.0,15.556944,50.778889,POINT (15.556944 50.778889)
Radio ZET,Jelenia Góra Łysa Góra,104.2,"15E48'06""","50N57'39""",WGS84,10.000000000000002,60.0,15.801667,50.960833,POINT (15.801667 50.960833)
Muzyczne Radio,Góra Świeradowiec,106.7,"15E19'43""","50N53'04""",WGS84,5.011872336272723,20.0,15.328611,50.884444,POINT (15.328611 50.884444)
Muzyczne Radio,Wałbrzych Góra Chełmiec,90.9,"16E12'38""","50N46'45""",WGS84,5.011872336272723,57.0,16.210556,50.779167,POINT (16.210556 50.779167)
Radio ZET,Wałbrzych G. Chełmiec,97.2,"16E12'37""","50N46'43""",WGS84,1.0,48.0,16.210278,50.778611,POINT (16.210278 50.778611)
Radio ZET,Wałbrzych G. Chełmiec,97.2,"16E12'37""","50N46'43""",WGS84,1.0,48.0,16.210278,50.778611,POINT (16.210278 50.778611)
Muzyczne Radio,"Komarno, Góra Baraniec",105.8,"15E53'04""","50N56'26""",WGS84,10.000000000000002,67.0,15.884444,50.940556,POINT (15.884444 50.940556)
Radio Rodzina,Bystrzyca Kłodzka Góra Igliczna 1,107.2,"16E44'53""","50N14'26""",WGS84,1.9952623149688797,22.0,16.748056,50.240556,POINT (16.748056 50.240556)
Radio Regionalne,Kalisz Mikstat,91.1,"17E59'40""","51N31'58""",WGS84,10.000000000000002,211.0,17.994444,51.532778,POINT (17.994444 51.532778)
RMF FM,Kalisz Mikstat,98.0,"17E59'40""","51N31'58""",WGS84,10.000000000000002,211.0,17.994444,51.532778,POINT (17.994444 51.532778)
Program 3,Kaliszkowice Kaliskie,102.5,"17E59'39""","51N31'56""",WGS84,10.000000000000002,211.0,17.994167,51.532222,POINT (17.994167 51.532222)
Radio ZET,Kalisz Mikstat,104.4,"17E59'40""","51N31'58""",WGS84,10.000000000000002,211.0,17.994444,51.532778,POINT (17.994444 51.532778)
Radio Centrum,Kalisz Mikstat,106.4,"17E59'40""","51N31'58""",WGS84,10.000000000000002,211.0,17.994444,51.532778,POINT (17.994444 51.532778)
RMF FM,Katowice Kosztowy,93.0,"19E06'59""","50N11'19""",WGS84,60.255958607435765,282.0,19.116389,50.188611,POINT (19.116389 50.188611)
Radio EM,Katowice Kosztowy,107.6,"19E06'59""","50N11'19""",WGS84,60.255958607435765,282.0,19.116389,50.188611,POINT (19.116389 50.188611)
RMF FM,Kielce Św. Krzyż,88.2,"21E02'55""","50N51'38""",WGS84,120.22644346174125,105.0,21.048611,50.860556,POINT (21.048611 50.860556)
Program 1,26-004 Bieliny,92.3,"21E02'54""","50N51'37""",WGS84,60.255958607435765,99.0,21.048333,50.860278,POINT (21.048333 50.860278)
Program 1,Bieliny,92.3,"21E02'54""","50N51'37""",WGS84,60.255958607435765,99.0,21.048333,50.860278,POINT (21.048333 50.860278)
Program 3,26-004 Bieliny,96.2,"21E02'54""","50N51'37""",WGS84,60.255958607435765,99.0,21.048333,50.860278,POINT (21.048333 50.860278)
Program 3,Bieliny,96.2,"21E02'54""","50N51'37""",WGS84,60.255958607435765,99.0,21.048333,50.860278,POINT (21.048333 50.860278)
Radio Regionalne,"Sandomierz, ul. Mokoszyńska 2",101.4,"21E45'55""","50N41'54""",WGS84,0.09999999999999998,70.0,21.765278,50.698333,POINT (21.765278 50.698333)
Radio ZET,Kielce Święty Krzyż,105.3,"21E02'55""","50N51'38""",WGS84,60.255958607435765,105.0,21.048611,50.860556,POINT (21.048611 50.860556)
Radio ZET,Kielce Św. Krzyż,105.3,"21E02'55""","50N51'38""",WGS84,60.255958607435765,105.0,21.048611,50.860556,POINT (21.048611 50.860556)
Radio Maryja,Kielce Św. Krzyż,107.2,"21E02'55""","50N51'38""",WGS84,120.22644346174125,105.0,21.048611,50.860556,POINT (21.048611 50.860556)
Radio Maryja,"Kielce, ul. Targowa",107.2,"20E35'56""","50N52'34""",WGS84,0.5011872336272722,89.0,20.598889,50.876111,POINT (20.598889 50.876111)
Program 4 - Polskie Radio 24,Kaliszkowice Kaliskie,94.2,"17E59'39""","51N31'56""",WGS84,10.000000000000002,211.0,17.994167,51.532222,POINT (17.994167 51.532222)
Radio Regionalne,"Kluczbork, ul. Kołłątaja 8",96.3,"18E11'56""","50N58'51""",WGS84,30.19951720402015,70.0,18.198889,50.980833,POINT (18.198889 50.980833)
Radio Regionalne,Kluczbork komin EC ul. Kołłątaja 8,96.3,"18E11'56""","50N58'51""",WGS84,30.19951720402015,70.0,18.198889,50.980833,POINT (18.198889 50.980833)
Program 1,Kaliszkowice Kaliskie,100.0,"17E59'39""","51N31'56""",WGS84,10.000000000000002,211.0,17.994167,51.532222,POINT (17.994167 51.532222)
Radio Maryja,Kluczbork m. Wierzbica Górna,102.8,"18E00'29""","51N01'55""",WGS84,10.000000000000002,70.0,18.008056,51.031944,POINT (18.008056 51.031944)
Radio Maryja,Wieluń ul. Ciepłownicza 26,105.2,"18E34'07""","51N13'55""",WGS84,5.011872336272723,86.0,18.568611,51.231944,POINT (18.568611 51.231944)
RMF FM,Kłodzko Czarna Góra,101.6,"16E48'10""","50N15'19""",WGS84,10.000000000000002,37.0,16.802778,50.255278,POINT (16.802778 50.255278)
Radio ZET,Kłodzko Czarna Góra,103.8,"16E48'10""","50N15'19""",WGS84,10.000000000000002,37.0,16.802778,50.255278,POINT (16.802778 50.255278)
Radio ZET,Kłodzko Czarna Góra,103.8,"16E48'10""","50N15'19""",WGS84,10.000000000000002,37.0,16.802778,50.255278,POINT (16.802778 50.255278)
Radio Maryja,Kłodzko Czarna Góra,106.3,"16E48'10""","50N15'19""",WGS84,5.011872336272723,37.0,16.802778,50.255278,POINT (16.802778 50.255278)
Program Regionalny,Konin Żółwieniec,91.9,"18E19'40""","52N23'55""",WGS84,30.19951720402015,265.0,18.327778,52.398611,POINT (18.327778 52.398611)
